,b1,b2,error,s,significance,vor_point,vor_region,total_sig,lag_sig,update,vor_label
623,0.00214644754305,0.0,0.15,0.000833328580484,0.00476472483055,747,851,2.49151345852,2.4915101802,1.0,87
624,0.00143773353193,0.0,0.15,0.000862253364176,0.00475573370754,718,906,2.49151345852,2.49151345852,0.0,88
625,0.00114244804718,0.0125165153295,0.229433062239,0.00125696905889,0.00475354678837,447,155,2.4915185884,2.49151345852,1.0,88
626,0.00403547892347,0.0,0.15,0.000819435983431,0.00474635875193,665,522,2.49154725686,2.4915185884,1.0,88
627,0.00225972454064,0.0,0.15,0.000825683469884,0.00473770820892,308,591,2.49156909301,2.49154725686,1.0,88
628,0.00416782009415,0.00556583330035,0.156719157145,0.000896749086678,0.00472040923011,179,445,2.49159547681,2.49156909301,1.0,88
629,0.00338678894333,0.0,0.15,0.000803300528787,0.00466529526966,249,340,2.49159802662,2.49159547681,1.0,88
630,0.0202602039599,2.87072889478e-05,0.149788178918,0.000973307935055,0.00465258972216,4,16,2.49159802662,2.49159802662,0.0,89
631,0.0,0.0594187527895,0.25,0.00162096670829,0.00461082742359,75,660,2.49160090376,2.49159802662,1.0,89
632,0.00132220820524,0.0,0.15,0.00084004260134,0.0046071049517,430,654,2.49162064657,2.49160090376,1.0,89
633,0.00148733297829,0.0,0.15,0.000823824550025,0.00458615974776,870,604,2.49162064657,2.49162064657,0.0,90
634,0.00145482248627,0.0,0.15,0.000822119647637,0.00456789732485,471,915,2.4916281956,2.49162064657,1.0,90
635,0.00150226312689,0.0,0.15,0.000815915351268,0.00455193145927,312,303,2.49164211364,2.4916281956,1.0,90
636,0.00157353824761,0.0,0.15,0.000807420758065,0.0045295143122,314,471,2.49166128229,2.49164211364,1.0,90
637,0.000568055955227,0.0,0.15,0.000979006290436,0.00450654875567,307,301,2.49168748541,2.49166128229,1.0,90
638,0.0289299628348,0.0,0.15,0.00102985312697,0.00450303796224,113,796,2.49168748541,2.49168748541,0.0,91
