,b1,b2,entrie_b1,entrie_b2,entrie_s,error,s,significance,sumw2_b1,sumw2_b2,sumw2_s,vor_point,vor_region,vor_qt,vor_label
0,0.0,0.0,0.0,0.0,1.0,0.0,0.00315433647484,0.211034298253,0.0,0.0,5.08388075104e-06,138,221,0,0
1,0.0,0.0,0.0,0.0,1.0,0.0,0.00223499629647,0.173262782213,0.0,0.0,4.9952086556e-06,191,323,0,0
2,0.0,0.0,0.0,0.0,1.0,0.0,0.00213739392348,0.168875131846,0.0,0.0,4.56845282315e-06,385,15,0,0
3,0.0,0.0,0.0,0.0,1.0,0.0,0.00208124984056,0.166310832326,0.0,0.0,4.33160084867e-06,334,307,0,0
4,0.0,0.0,0.0,0.0,1.0,0.0,0.0020186540205,0.163415357095,0.0,0.0,4.0749641812e-06,13,347,0,0
5,0.0,0.0,0.0,0.0,1.0,0.0,0.00201484886929,0.163238067007,0.0,0.0,2.22319067689e-06,194,314,1,0
6,0.0,0.0,0.0,0.0,1.0,0.0,0.00193590659183,0.159525821769,0.0,0.0,3.74773435396e-06,321,212,1,0
7,0.0,0.0,0.0,0.0,1.0,0.0,0.00192984740715,0.159238138324,0.0,0.0,3.72431100004e-06,142,273,1,0
8,0.0,0.0,0.0,0.0,1.0,0.0,0.00192897464149,0.159196667365,0.0,0.0,3.72094314116e-06,374,66,1,0
9,0.0,0.0,0.0,0.0,1.0,0.0,0.00190574768931,0.158089922504,0.0,0.0,3.63187427865e-06,99,253,1,0
10,0.0,0.0,0.0,0.0,1.0,0.0,0.00174484378658,0.150252243369,0.0,0.0,3.044479854e-06,169,435,2,0
11,0.0,0.0,0.0,0.0,1.0,0.0,0.00174207787495,0.150114776082,0.0,0.0,3.03483534481e-06,342,107,2,0
12,0.0,0.0,0.0,0.0,1.0,0.0,0.00171248230617,0.148637760256,0.0,0.0,2.93259563477e-06,184,439,2,0
13,0.0,0.0,0.0,0.0,1.0,0.0,0.00171065400355,0.148546146392,0.0,0.0,2.92633717436e-06,81,375,2,0
14,0.0,0.0,0.0,0.0,1.0,0.0,0.00170885352418,0.148455884319,0.0,0.0,2.92018034997e-06,17,475,2,0
15,0.0,0.0,0.0,0.0,1.0,0.0,0.00170237361453,0.148130682744,0.0,0.0,2.89807599074e-06,122,238,3,0
16,0.0,0.0,0.0,0.0,1.0,0.0,0.00170153693762,0.148088653232,0.0,0.0,2.89522790808e-06,477,320,3,0
17,0.0,0.0,0.0,0.0,1.0,0.0,0.00167488411535,0.146744953359,0.0,0.0,2.80523681795e-06,228,171,3,0
18,0.0,0.0,0.0,0.0,1.0,0.0,0.00165869027842,0.145923915509,0.0,0.0,2.75125353255e-06,303,372,3,0
19,0.0,0.0,0.0,0.0,1.0,0.0,0.0016581476666,0.145896343435,0.0,0.0,2.74945364254e-06,397,306,3,0
20,0.0,0.0,0.0,0.0,1.0,0.0,0.00163252674975,0.144589870773,0.0,0.0,2.66514348368e-06,102,317,4,0
21,0.0,0.0,0.0,0.0,1.0,0.0,0.00160904868972,0.143384675279,0.0,0.0,2.58903764916e-06,361,141,4,0
22,0.0,0.0,0.0,0.0,1.0,0.0,0.00160431535915,0.14314075947,0.0,0.0,2.10639313991e-06,260,405,4,0
23,0.0,0.0,0.0,0.0,1.0,0.0,0.00157999282237,0.141882326077,0.0,0.0,2.49637741945e-06,339,404,4,0
24,0.0,0.0,0.0,0.0,1.0,0.0,0.00154093501624,0.139843422375,0.0,0.0,2.37448080043e-06,42,478,4,0
25,0.0,0.0,0.0,0.0,1.0,0.0,0.00152479298413,0.138994106761,0.0,0.0,2.32499360209e-06,255,22,5,0
26,0.0,0.0,0.0,0.0,1.0,0.0,0.00150175590534,0.137775089576,0.0,0.0,2.25527082875e-06,264,399,5,0
27,0.0,0.0,0.0,0.0,1.0,0.0,0.00147214310709,0.136195903629,0.0,0.0,2.16720536628e-06,287,215,5,0
28,0.0,0.0,0.0,0.0,1.0,0.0,0.00144393870141,0.134678716573,0.0,0.0,2.08495907827e-06,218,288,5,0
29,0.0,0.0,0.0,0.0,1.0,0.0,0.00141909881495,0.133331635383,0.0,0.0,2.01384136744e-06,449,407,6,0
30,0.0,0.0,0.0,0.0,1.0,0.0,0.00141274684574,0.132985495988,0.0,0.0,1.99585360861e-06,423,160,6,0
31,0.0,0.0,0.0,0.0,1.0,0.0,0.00140418065712,0.132517606033,0.0,0.0,1.97172334993e-06,404,341,6,0
32,0.0,0.0,0.0,0.0,1.0,0.0,0.00140003417619,0.132290670203,0.0,0.0,1.96009568754e-06,330,445,6,0
33,0.0,0.0,0.0,0.0,1.0,0.0,0.00139523588587,0.132027690182,0.0,0.0,1.9466831418e-06,220,474,6,0
34,0.0,0.0,0.0,0.0,1.0,0.0,0.00139400816988,0.131960338578,0.0,0.0,1.94325866687e-06,137,353,7,0
35,0.0,0.0,0.0,0.0,1.0,0.0,0.00136702111922,0.130473171791,0.0,0.0,1.86874672181e-06,419,418,7,0
36,0.0,0.0,0.0,0.0,1.0,0.0,0.00135899870656,0.130028589461,0.0,0.0,1.84687746696e-06,370,415,7,0
37,0.0,0.0,0.0,0.0,1.0,0.0,0.00135101680644,0.129585100921,0.0,0.0,1.82524638603e-06,266,250,7,0
38,0.0,0.0,0.0,0.0,1.0,0.0,0.00134746695403,0.129387493342,0.0,0.0,1.81566724677e-06,302,196,7,0
39,0.0,0.0,0.0,0.0,1.0,0.0,0.00134432932828,0.12921264155,0.0,0.0,1.80722133791e-06,296,256,8,0
