,b1,b2,bin_region,entrie_b1,entrie_b2,entrie_s,error,s,significance,sumw2_b1,sumw2_b2,sumw2_s,x_center,y_center,total_sig,lag_sig,update,bin_label
0,0.0880545920163,0.0127255714033,99,73.0,2.0,232.0,0.134807587124,0.189623863946,0.430711619536,0.000169725347863,0.000206555854902,0.000255328901016,0.761785483011,0.754692879226,1.12019233923,1.12019233923,1.0,1
1,0.0779393843504,0.0221227877773,89,69.0,2.0,129.0,0.129250972398,0.110619053539,0.275407184931,0.000138877072755,0.000297208240227,0.000153075223478,0.444075778763,0.754692879226,1.12917808479,1.12019233923,1.0,1
2,0.086531597206,0.0,98,69.0,0.0,107.0,0.15,0.0853196017235,0.22111549865,0.000166976102501,0.0,0.000120874545705,0.761785483011,0.447910956505,1.13509863191,1.12917808479,1.0,1
3,0.105672506676,0.00952169857919,88,77.0,1.0,112.0,0.139144334345,0.090803381979,0.218935788387,0.000199136061451,9.06627465156e-05,0.000112362037461,0.444075778763,0.447910956505,1.1367048478,1.13509863191,1.0,1
4,0.0465580077362,0.00815612636507,79,44.0,1.0,91.0,0.132968973436,0.0684510888954,0.209549651513,7.80500936632e-05,6.65223997203e-05,9.52706277913e-05,0.312318569246,0.754692879226,1.14485722625,1.1367048478,1.0,1
5,0.0553553046852,0.0,58,47.0,0.0,67.0,0.15,0.061815653923,0.184386208198,0.000100204143302,0.0,8.42105244072e-05,0.120604338742,0.447910956505,1.15257919265,1.14485722625,1.0,1
6,0.0545800451764,0.0413792692125,47,55.0,1.0,73.0,0.137480246388,0.0641482134797,0.169756664372,9.08968695268e-05,0.0017122438876,7.9142937611e-05,0.035678849219,0.334721279405,1.15277761173,1.15257919265,1.0,1
7,0.0848498451498,0.0118332986603,67,76.0,3.0,61.0,0.135150395108,0.0617775248904,0.164179970519,0.000156657820932,7.58841120501e-05,9.03403299242e-05,0.212419064368,0.334721279405,1.15277761173,1.15277761173,0.0,2
8,0.0339329704366,0.0,48,31.0,0.0,51.0,0.15,0.0492808709461,0.162812823975,6.42430255138e-05,0.0,7.29399014266e-05,0.035678849219,0.447910956505,1.15719101815,1.15277761173,1.0,2
9,0.0732825346597,0.0188854896114,68,66.0,2.0,70.0,0.129800277394,0.0581777594635,0.158999795878,0.000138655116273,0.000324764548907,8.03405549903e-05,0.212419064368,0.447910956505,1.15989568836,1.15719101815,1.0,2
10,0.0874911632745,0.000169886814547,97,58.0,1.0,56.0,0.149710084496,0.0580716691238,0.156539354598,0.000168101164047,2.88615300548e-08,7.70281832677e-05,0.761785483011,0.334721279405,1.16297161233,1.15989568836,1.0,2
11,0.0225651412475,0.00291293795453,69,15.0,2.0,53.0,0.135890343288,0.0417437141537,0.152248533289,4.53716619013e-05,1.28207612704e-05,5.78986062571e-05,0.212419064368,0.754692879226,1.16829035832,1.16297161233,1.0,2
