,x_center,x_lowedge,x_highedge,y_center,y_lowedge,y_highedge,bin_region,bin_label
0,0.76575602612,0.531512052241,1.0,0.755734714049,0.511469428097,1.0,99,1
1,0.456521421985,0.38153079173,0.531512052241,0.755734714049,0.511469428097,1.0,89,1
2,0.456521421985,0.38153079173,0.531512052241,0.451026720697,0.390584013296,0.511469428097,88,2
3,0.76575602612,0.531512052241,1.0,0.451026720697,0.390584013296,0.511469428097,98,2
4,0.224355764453,0.177281261235,0.271430267671,0.755734714049,0.511469428097,1.0,69,3
5,0.3264805297,0.271430267671,0.38153079173,0.755734714049,0.511469428097,1.0,79,4
6,0.3264805297,0.271430267671,0.38153079173,0.451026720697,0.390584013296,0.511469428097,78,4
7,0.224355764453,0.177281261235,0.271430267671,0.451026720697,0.390584013296,0.511469428097,68,4
8,0.224355764453,0.177281261235,0.271430267671,0.340482900753,0.29038178821,0.390584013296,67,5
9,0.0461967432876,0.00236743983205,0.0900260467431,0.451026720697,0.390584013296,0.511469428097,48,6
10,0.456521421985,0.38153079173,0.531512052241,0.340482900753,0.29038178821,0.390584013296,87,7
11,0.76575602612,0.531512052241,1.0,0.340482900753,0.29038178821,0.390584013296,97,7
12,0.3264805297,0.271430267671,0.38153079173,0.340482900753,0.29038178821,0.390584013296,77,7
13,0.133653653989,0.0900260467431,0.177281261235,0.451026720697,0.390584013296,0.511469428097,58,7
14,0.133653653989,0.0900260467431,0.177281261235,0.340482900753,0.29038178821,0.390584013296,57,7
15,-0.0450892667415,-0.092545973315,0.00236743983205,0.244664098031,0.198946407852,0.29038178821,36,8
16,0.224355764453,0.177281261235,0.271430267671,0.244664098031,0.198946407852,0.29038178821,66,8
17,0.0461967432876,0.00236743983205,0.0900260467431,0.340482900753,0.29038178821,0.390584013296,47,8
18,0.133653653989,0.0900260467431,0.177281261235,0.244664098031,0.198946407852,0.29038178821,56,8
19,0.224355764453,0.177281261235,0.271430267671,0.154231338472,0.109516269092,0.198946407852,65,8
20,0.0461967432876,0.00236743983205,0.0900260467431,0.244664098031,0.198946407852,0.29038178821,46,9
21,0.3264805297,0.271430267671,0.38153079173,0.244664098031,0.198946407852,0.29038178821,76,9
22,0.3264805297,0.271430267671,0.38153079173,0.154231338472,0.109516269092,0.198946407852,75,9
23,0.456521421985,0.38153079173,0.531512052241,0.244664098031,0.198946407852,0.29038178821,86,9
24,0.0461967432876,0.00236743983205,0.0900260467431,0.154231338472,0.109516269092,0.198946407852,45,10
25,-0.146816483936,-0.201086994558,-0.092545973315,0.154231338472,0.109516269092,0.198946407852,25,10
26,-0.0450892667415,-0.092545973315,0.00236743983205,0.0633633072098,0.0172103453271,0.109516269092,34,10
27,-0.0450892667415,-0.092545973315,0.00236743983205,0.340482900753,0.29038178821,0.390584013296,37,11
28,-0.146816483936,-0.201086994558,-0.092545973315,0.244664098031,0.198946407852,0.29038178821,26,11
29,-0.0450892667415,-0.092545973315,0.00236743983205,0.154231338472,0.109516269092,0.198946407852,35,12
30,-0.276505993336,-0.351924992114,-0.201086994558,0.244664098031,0.198946407852,0.29038178821,16,13
31,-0.0450892667415,-0.092545973315,0.00236743983205,-0.0290709175756,-0.0753521804784,0.0172103453271,33,14
32,-0.146816483936,-0.201086994558,-0.092545973315,0.0633633072098,0.0172103453271,0.109516269092,24,15
33,-0.276505993336,-0.351924992114,-0.201086994558,0.0633633072098,0.0172103453271,0.109516269092,14,15
34,0.133653653989,0.0900260467431,0.177281261235,0.755734714049,0.511469428097,1.0,59,16
35,0.133653653989,0.0900260467431,0.177281261235,0.0633633072098,0.0172103453271,0.109516269092,54,17
36,0.76575602612,0.531512052241,1.0,0.244664098031,0.198946407852,0.29038178821,96,18
37,0.224355764453,0.177281261235,0.271430267671,0.0633633072098,0.0172103453271,0.109516269092,64,19
38,0.133653653989,0.0900260467431,0.177281261235,0.154231338472,0.109516269092,0.198946407852,55,19
39,-0.146816483936,-0.201086994558,-0.092545973315,0.340482900753,0.29038178821,0.390584013296,27,20
40,-0.276505993336,-0.351924992114,-0.201086994558,0.154231338472,0.109516269092,0.198946407852,15,21
41,0.0461967432876,0.00236743983205,0.0900260467431,0.0633633072098,0.0172103453271,0.109516269092,44,22
42,0.456521421985,0.38153079173,0.531512052241,0.154231338472,0.109516269092,0.198946407852,85,23
43,-0.276505993336,-0.351924992114,-0.201086994558,-0.124446985977,-0.173541791476,-0.0753521804784,12,24
44,0.3264805297,0.271430267671,0.38153079173,0.0633633072098,0.0172103453271,0.109516269092,74,25
45,-0.0450892667415,-0.092545973315,0.00236743983205,0.451026720697,0.390584013296,0.511469428097,38,26
46,0.0461967432876,0.00236743983205,0.0900260467431,-0.0290709175756,-0.0753521804784,0.0172103453271,43,27
47,-0.146816483936,-0.201086994558,-0.092545973315,-0.124446985977,-0.173541791476,-0.0753521804784,22,28
48,-0.675962496057,-1.0,-0.351924992114,-0.0290709175756,-0.0753521804784,0.0172103453271,3,28
49,0.456521421985,0.38153079173,0.531512052241,0.0633633072098,0.0172103453271,0.109516269092,84,29
50,-0.146816483936,-0.201086994558,-0.092545973315,-0.0290709175756,-0.0753521804784,0.0172103453271,23,30
51,-0.675962496057,-1.0,-0.351924992114,-0.124446985977,-0.173541791476,-0.0753521804784,2,31
52,-0.276505993336,-0.351924992114,-0.201086994558,-0.0290709175756,-0.0753521804784,0.0172103453271,13,32
53,0.224355764453,0.177281261235,0.271430267671,-0.0290709175756,-0.0753521804784,0.0172103453271,63,33
