,b1,b2,bin_region,entrie_b1,entrie_b2,entrie_s,error,s,significance,sumw2_b1,sumw2_b2,sumw2_s,x_center,x_highedge,x_lowedge,y_center,y_highedge,y_lowedge,total_sig,lag_sig,update,bin_label
0,0.837669075501,0.800770733272,99,678.0,20.0,2063.0,0.144257994818,1.71472377063,1.16230150358,0.00159631763744,0.100915009753,0.00238924944597,0.76575602612,1.0,0.531512052241,0.755734714049,1.0,0.511469428097,3.41420844428,3.41420844428,1.0,1
1,0.530534750548,0.684755021706,89,452.0,15.0,1273.0,0.155338989609,1.07958839335,0.860205638556,0.00100671474625,0.0540655634926,0.00144674894854,0.456521421985,0.531512052241,0.38153079173,0.755734714049,1.0,0.511469428097,3.41583799116,3.41420844428,1.0,1
2,0.847481546758,0.573513905171,88,665.0,13.0,999.0,0.134847706466,0.872399163939,0.666359680956,0.00162357151035,0.0591340616023,0.00122498093061,0.456521421985,0.531512052241,0.38153079173,0.451026720697,0.511469428097,0.390584013296,3.41583799116,3.41583799116,0.0,2
3,0.956175620473,0.470350367016,98,690.0,11.0,942.0,0.130012958453,0.863296164776,0.659195255878,0.00182713178278,0.0347126732618,0.00121439373873,0.76575602612,1.0,0.531512052241,0.451026720697,0.511469428097,0.390584013296,3.41677352744,3.41583799116,1.0,2
4,0.24923923797,0.160742761014,69,214.0,9.0,539.0,0.133876862438,0.472121996711,0.620541361827,0.000514950880397,0.0102549252015,0.000670525779913,0.224355764453,0.271430267671,0.177281261235,0.755734714049,1.0,0.511469428097,3.41677352744,3.41677352744,0.0,3
5,0.374981732559,0.561944081332,79,308.0,13.0,804.0,0.161515147601,0.663865856093,0.611991107119,0.000724765408382,0.0655050671749,0.00092596185905,0.3264805297,0.38153079173,0.271430267671,0.755734714049,1.0,0.511469428097,3.41677352744,3.41677352744,0.0,4
6,0.733551259756,0.608424507125,78,599.0,21.0,862.0,0.139892565687,0.751354557669,0.593890108757,0.00140059236151,0.0527418161246,0.00106342764914,0.3264805297,0.38153079173,0.271430267671,0.451026720697,0.511469428097,0.390584013296,3.41719679003,3.41677352744,1.0,4
7,0.620505344186,0.392248658627,68,499.0,20.0,710.0,0.133498297928,0.599958169075,0.542740802381,0.00118757812739,0.0268170601737,0.000817421566444,0.224355764453,0.271430267671,0.177281261235,0.451026720697,0.511469428097,0.390584013296,3.41815259282,3.41719679003,1.0,4
8,0.787829270031,0.40400093887,67,608.0,18.0,702.0,0.13043378556,0.585756041892,0.49566492355,0.00151926805016,0.0239386175118,0.000796983195986,0.224355764453,0.271430267671,0.177281261235,0.340482900753,0.390584013296,0.29038178821,3.41815259282,3.41815259282,0.0,5
9,0.481495872161,0.104922611127,48,398.0,15.0,491.0,0.131032957009,0.417523227094,0.485904922683,0.000943563551177,0.00176036733204,0.000569105527579,0.0461967432876,0.0900260467431,0.00236743983205,0.451026720697,0.511469428097,0.390584013296,3.41815259282,3.41815259282,0.0,6
10,0.897101336044,0.620741375445,87,656.0,15.0,690.0,0.135325442366,0.635909445499,0.481973545083,0.00177921379282,0.0669159795404,0.00089151873263,0.456521421985,0.531512052241,0.38153079173,0.340482900753,0.390584013296,0.29038178821,3.41815259282,3.41815259282,0.0,7
11,0.796883133684,0.294729742177,97,574.0,10.0,590.0,0.128633181079,0.537072898598,0.474603441629,0.00155572307605,0.0258889098676,0.000755886216048,0.76575602612,1.0,0.531512052241,0.340482900753,0.390584013296,0.29038178821,3.41834734191,3.41815259282,1.0,7
12,0.902259548639,0.563996493817,77,706.0,19.0,675.0,0.133292885437,0.587237788637,0.453951000129,0.00173337532686,0.0453056066233,0.000804203241937,0.3264805297,0.38153079173,0.271430267671,0.340482900753,0.390584013296,0.29038178821,3.4185597561,3.41834734191,1.0,7
13,0.522454306718,0.514662571222,58,449.0,22.0,608.0,0.145261632255,0.494032254439,0.447492085608,0.000986226283873,0.0370705365484,0.000673893415813,0.133653653989,0.177281261235,0.0900260467431,0.451026720697,0.511469428097,0.390584013296,3.41904405979,3.4185597561,1.0,7
14,0.83214242329,0.51363685672,57,635.0,18.0,632.0,0.133067162571,0.527419060881,0.425814982003,0.00161341935158,0.0342867293226,0.000718074443437,0.133653653989,0.177281261235,0.0900260467431,0.340482900753,0.390584013296,0.29038178821,3.4191965239,3.41904405979,1.0,7
15,0.992797544708,0.469774989156,36,769.0,40.0,642.0,0.129674132631,0.536612719216,0.417374958906,0.00185821036833,0.0207613607247,0.000738867190272,-0.0450892667415,0.00236743983205,-0.092545973315,0.244664098031,0.29038178821,0.198946407852,3.4191965239,3.4191965239,0.0,8
16,0.885732173679,0.396992818205,66,686.0,15.0,604.0,0.129284989559,0.503780387456,0.416589174665,0.00165593506934,0.029325750216,0.000712335387438,0.224355764453,0.271430267671,0.177281261235,0.244664098031,0.29038178821,0.198946407852,3.41949674941,3.4191965239,1.0,8
17,0.784829644809,0.742051834556,47,638.0,30.0,612.0,0.143897013305,0.530458210011,0.404428981127,0.00149497005769,0.0429518056396,0.000750958506416,0.0461967432876,0.0900260467431,0.00236743983205,0.340482900753,0.390584013296,0.29038178821,3.41975519626,3.41949674941,1.0,8
